x_usteps,y_usteps,distance_mm
0,0,300.0
1000,0,295.454286167723
2000,0,290.9674696276493
3000,0,286.59768455948597
4000,0,282.40154880534124
5000,0,278.43343029129994
6000,0,274.744742600408
7000,0,271.3832788240902
8000,0,268.39259232306597
9000,0,265.8114324210363
10000,0,263.67324234266994
11000,0,262.0057259009385
12000,0,260.830488548087
13000,0,260.1627574410224
14000,0,260.0111841481403
15000,0,260.3777325538491
16000,0,261.25765341317793
17000,0,262.63954588615314
18000,0,264.50550525466497
19000,0,266.83135490790573
20000,0,269.58695959062123
21000,0,272.73661585552406
22000,0,276.23951466090637
23000,0,280.05027011973004
24000,0,284.11950754937
25000,0,288.3945032028459
26000,0,292.8198673927598
27000,0,297.33826215693114
28000,0,301.8911441671756
29000,0,306.4195232556078
30000,0,310.86472673049707
31000,0,315.1691595786894
32000,0,319.27705070491066
33000,0,323.13517553917535
34000,0,326.6935456497202
35000,0,329.90605642637814
36000,0,332.7310844425764
37000,0,335.1320267561388
38000,0,337.0777751613527
39000,0,338.5431192475755
40000,0,339.5090730420844
41000,0,339.963121004969
42000,0,339.89938018879104
43000,0,339.3186764619651
44000,0,338.22853380825785
45000,0,336.6430768410497
46000,0,334.58284779544806
47000,0,332.0745403694244
48000,0,329.15065386250745
49000,0,325.8490720932393
50000,0,322.2125725512227
51000,0,318.2882721435103
52000,0,314.12701671661483
53000,0,309.78272226389885
54000,0,305.31167635410065
55000,0,300.7718088321511
56000,0,296.2219412415677
57000,0,291.7210246934095
58000,0,287.32737605646764
59000,0,283.0979223651213
60000,0,279.08746323481284
0,1000,300.0
1000,1000,295.4954111343213
2000,1000,291.04918671842233
3000,1000,286.7189349934478
4000,1000,282.5607615812142
5000,1000,278.628542542452
6000,1000,274.97322632272534
7000,1000,271.6421736304799
8000,1000,268.67854380020054
9000,1000,266.12073559136405
10000,1000,264.0018896685689
11000,1000,262.3494592090393
12000,1000,261.18485420099967
13000,1000,260.52316404162514
14000,1000,260.3729620287744
15000,1000,260.7361942796399
16000,1000,261.6081545155586
17000,1000,262.9775450396892
18000,1000,264.8266231174874
19000,1000,267.1314308633773
20000,1000,269.8621056550535
21000,1000,272.9832670534801
22000,1000,276.4544752153939
23000,1000,280.23075485881424
24000,1000,284.26317799271345
25000,1000,288.4994978606156
26000,1000,292.8848258843276
27000,1000,297.3623428368702
28000,1000,301.87403503017816
29000,1000,306.3614459790338
30000,1000,310.76643380217456
31000,1000,315.03192454718186
32000,1000,319.1026516785745
33000,1000,322.9258721478054
34000,1000,326.4520497672829
35000,1000,329.63549703416857
36000,1000,332.4349670880551
37000,1000,334.8141881327271
38000,1000,336.7423333976807
39000,1000,338.19442055026786
40000,1000,339.15163538341665
41000,1000,339.60157558501305
42000,1000,339.53841143050647
43000,1000,338.9629613166993
44000,1000,337.8826811580534
45000,1000,336.3115677829026
46000,1000,334.2699775812342
47000,1000,331.7843627537593
48000,1000,328.88692857960467
49000,1000,325.6152161432933
50000,1000,322.0116159274811
51000,1000,318.12281857366594
52000,1000,313.9992099271776
53000,1000,309.6942182046494
54000,1000,305.2636217425033
55000,1000,300.7648262957193
56000,1000,296.25612125068824
57000,1000,291.79592438914784
58000,1000,287.44202498854276
59000,1000,283.2508350657052
60000,1000,279.2766584652398
0,2000,300.0
1000,2000,295.6180419208963
2000,2000,291.29285940552796
3000,2000,287.08049239565975
4000,2000,283.03551912032265
5000,2000,279.21034894397343
6000,2000,275.65454331590604
7000,2000,272.41417361914665
8000,2000,269.5312242389686
9000,2000,267.0430485852689
10000,2000,264.9818851169421
11000,2000,263.3744396389625
12000,2000,262.24153928420947
13000,2000,261.5978626632804
14000,2000,261.4517496786475
15000,2000,261.80509346733334
16000,2000,262.65331587216883
17000,2000,263.98542675944236
18000,2000,265.78416641438326
19000,2000,268.02622916950696
20000,2000,270.6825653683461
21000,2000,273.71875775212345
22000,2000,277.09546739265073
23000,2000,280.7689433936502
24000,2000,284.69158975647025
25000,2000,288.81258206550405
26000,2000,293.07852600312674
27000,2000,297.4341491619922
28000,2000,301.82301719110944
29000,2000,306.1882649968343
30000,2000,310.47333352484884
31000,2000,314.6227025768923
32000,2000,318.5826101673812
33000,2000,322.30174909945697
34000,2000,325.7319317351581
35000,2000,328.82871434651156
36000,2000,331.55197295803606
37000,2000,333.86642321965905
38000,2000,335.74207757422704
39000,2000,337.15463379624384
40000,2000,338.08578986766975
41000,2000,338.5234811110418
42000,2000,338.4620365074602
43000,2000,337.90225217408164
44000,2000,336.85138104909595
45000,2000,335.3230389178341
46000,2000,333.3370279975962
47000,2000,330.91908036695213
48000,2000,328.1005245638145
49000,2000,324.91787967206176
50000,2000,321.41238215599515
51000,2000,317.62945157327704
52000,2000,313.61810208892877
53000,2000,309.4303074152045
54000,2000,305.12032740560284
55000,2000,300.7440050281111
56000,2000,296.3580428265656
57000,2000,292.0192682447759
58000,2000,287.7838973323604
59000,2000,283.70680637221375
60000,2000,279.84082086688164
0,3000,300.0
1000,3000,295.8199596517389
2000,3000,291.6940786867774
3000,3000,287.67581476341854
4000,3000,283.8172311819879
5000,3000,280.1683223180821
6000,3000,276.77636586218284
7000,3000,273.6853102584498
8000,3000,270.93520527944384
9000,3000,268.5616831146327
10000,3000,266.59549669604195
11000,3000,265.062121242811
12000,3000,263.98142418730754
13000,3000,263.3674077594584
14000,3000,263.2280275645444
15000,3000,263.5650895050859
16000,3000,264.374226382369
17000,3000,265.6449544807766
18000,3000,267.3608094017822
19000,3000,269.4995593876487
20000,3000,272.0334933708705
21000,3000,274.92978001719746
22000,3000,278.15089311024036
23000,3000,281.65509776609315
24000,3000,285.3969911782504
25000,3000,289.3280908865704
26000,3000,293.397462948279
27000,3000,297.5523818720132
28000,3000,301.73901376436027
29000,3000,305.90311383759064
30000,3000,309.99072924121145
31000,3000,313.94889811098653
32000,3000,317.72633577807954
33000,3000,321.2740992473379
34000,3000,324.5462213352946
35000,3000,327.50030625157444
36000,3000,330.09807890695555
37000,3000,332.305880830886
38000,3000,334.09510627301745
39000,3000,335.4425728383355
40000,3000,336.33082185369
41000,3000,336.7483445739781
42000,3000,336.68973129710105
43000,3000,336.1557414556635
44000,3000,335.15329377725914
45000,3000,333.6953766408339
46000,3000,331.8008797906085
47000,3000,329.4943495879869
48000,3000,326.8056709725697
49000,3000,323.76968025299743
50000,3000,320.4257137445627
51000,3000,316.8170981017433
52000,3000,312.9905889492455
53000,3000,308.9957650850288
54000,3000,304.88438610442046
55000,3000,300.70972176836744
56000,3000,296.52586180497906
57000,3000,292.3870150870295
58000,3000,288.34680726574214
59000,3000,284.45758596118105
60000,3000,280.769742511664
0,4000,300.0
1000,4000,296.0975108368833
2000,4000,292.24558491928553
3000,4000,288.4941303616821
4000,4000,284.8917535047752
5000,4000,281.4851291394108
6000,4000,278.31839575694073
7000,4000,275.43258366156766
8000,4000,272.865083354431
9000,4000,270.64916107740186
10000,4000,268.8135277935247
11000,4000,267.38196718868215
12000,4000,266.37302751433936
13000,4000,265.79978126406013
14000,4000,265.6696557975843
15000,4000,265.98433710701465
16000,4000,266.7397479719813
17000,4000,267.9261007868211
18000,4000,269.5280243753075
19000,4000,271.5247631498344
20000,4000,273.8904460346156
21000,4000,276.5944216685523
22000,4000,279.6016555446565
23000,4000,282.87318394042836
24000,4000,286.36661875776355
25000,4000,290.0366967313486
26000,4000,293.8358658896352
27000,4000,297.7149016698153
28000,4000,301.62354470400027
29000,4000,305.5111520130242
30000,4000,309.32735317056915
31000,4000,313.022702935915
32000,4000,316.54932189936864
33000,4000,319.8615168397456
34000,4000,322.9163727561383
35000,4000,325.67430890321504
36000,4000,328.0995916256851
37000,4000,330.1607973473071
38000,4000,331.83121971564503
39000,4000,333.089215627336
40000,4000,333.91848565053374
41000,4000,334.30828521119037
42000,4000,334.25356380690476
43000,4000,333.75503044459134
44000,4000,332.81914445411473
45000,4000,331.4580317969156
46000,4000,329.6893279539877
47000,4000,327.53594942885536
48000,4000,325.02579682610974
49000,4000,322.19139335261644
50000,4000,319.0694634252127
51000,4000,315.7004568447345
52000,4000,312.12802470148944
53000,4000,308.398453802694
54000,4000,304.5600669498101
55000,4000,300.6625968361846
56000,4000,296.75654167719244
57000,4000,292.8925109217673
58000,4000,289.12056952271547
59000,4000,285.48958926188476
60000,4000,282.04661553484937
0,5000,300.0
1000,5000,296.44567347818395
2000,5000,292.9373991751096
3000,5000,289.5206326263388
4000,5000,286.2396437320981
5000,5000,283.13694316700304
6000,5000,280.2527315834801
7000,5000,277.6243787453725
8000,5000,275.2859393404214
9000,5000,273.26771174507877
10000,5000,271.59584545858735
11000,5000,270.29200229267445
12000,5000,269.37307570670924
13000,5000,268.8509719248061
14000,5000,268.7324556708649
15000,5000,269.01906252030835
16000,5000,269.70707900414516
17000,5000,270.7875907231447
18000,5000,272.24659784872324
19000,5000,274.06519651403545
20000,5000,276.2198237450484
21000,5000,278.68256275810694
22000,5000,281.42150466835284
23000,5000,284.40116192246285
24000,5000,287.5829280989956
25000,5000,290.9255781188686
26000,5000,294.38580238490584
27000,5000,297.91876792978803
28000,5000,301.47869930179985
29000,5000,305.0194716620322
30000,5000,308.49520840847697
31000,5000,311.86087558379995
32000,5000,315.07286536524805
33000,5000,318.089561076609
34000,5000,320.87187640155145
35000,5000,323.3837618119394
36000,5000,325.59267164949887
